"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","pct.diff","log.pct.diff"
"Ceacam10",3.71843255161982e-19,0.117465271579786,1,0.134,1.33305806975571e-15,"19","Ceacam10",0.866,0.818579359719858
"Adam8",4.31830192196706e-19,0.112678169614857,1,0.109,1.54811123902519e-15,"19","Adam8",0.891,0.850740634500377
"Ccr11",4.38484600494997e-19,0.152746633587511,1,0.169,1.57196729277456e-15,"19","Ccr1",0.831,0.774725070130431
"Osm1",4.83663569238108e-19,0.165906128003455,1,0.231,1.73393389571862e-15,"19","Osm",0.769,0.70016923817763
"Cxcl21",6.05367618746374e-19,0.104392920177334,0.989,0.191,2.17024291320575e-15,"19","Cxcl2",0.798,0.73986986296963
"Cxcr21",6.08295005307309e-19,0.199839560742329,1,0.163,2.1807375940267e-15,"19","Cxcr2",0.837,0.782148903188869
"Fpr1",8.30774463086539e-19,0.161786288403692,1,0.137,2.97832645016524e-15,"19","Fpr1",0.863,0.814767745769839
"Slfn41",9.07834479850634e-19,0.179558601958232,1,0.176,3.25458661026452e-15,"19","Slfn4",0.824,0.766111939825723
"Slfn11",1.09547192036306e-18,0.181296346291604,1,0.21,3.92726683450156e-15,"19","Slfn1",0.79,0.72499295250013
"Cyp4f181",1.11102426012534e-18,0.130241641813537,0.989,0.232,3.98302197254935e-15,"19","Cyp4f18",0.757,0.691041020138843
"Clec4e1",1.48831007885303e-18,0.148449056568607,1,0.298,5.3355916326881e-15,"19","Clec4e",0.702,0.623709616662948
"Slc2a3",1.67460362475499e-18,0.136652601949854,1,0.201,6.00345399474665e-15,"19","Slc2a3",0.799,0.735763848956453
"Cd33",1.7877542720593e-18,0.117086745043804,1,0.157,6.40909906533261e-15,"19","Cd33",0.843,0.789611135554597
"G0s21",3.04136666217772e-18,0.192603470122632,1,0.277,1.09032994839071e-14,"19","G0s2",0.723,0.647241474959363
"Pilra1",4.33258918017399e-18,0.167728188667317,1,0.21,1.55323322109237e-14,"19","Pilra",0.79,0.72499295250013
"Lilr4b1",4.63976645999788e-18,0.124853787476667,1,0.239,1.66335627590924e-14,"19","Lilr4b",0.761,0.690823812521486
