"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","pct.diff","log.pct.diff"
"Rgcc",9.59346703421532e-17,0.314243451828337,1,0.459,3.43925793176619e-13,"1","Rgcc",0.541,0.455020116744196
"Prss57",5.11689807961943e-16,0.303070452600021,1,0.49,1.83440796154356e-12,"1","Prss57",0.51,0.424687669312563
"Vat1",7.09944510940308e-16,0.10438923489371,0.992,0.387,2.545151071721e-12,"1","Vat1",0.605,0.522249859744478
"Ms4a3",8.64692018177798e-16,0.830244179399641,1,0.828,3.09992088516741e-12,"1","Ms4a3",0.172,0.129733929604018
"S100a1",9.28529824756823e-16,0.119106786701231,1,0.765,3.32877942175321e-12,"1","S100a1",0.235,0.180331816503544
"Cd63",1.2708190436997e-15,0.736581678915986,1,0.843,4.55588627166341e-12,"1","Cd63",0.157,0.117943929031374
"Clec12a",1.64124934631378e-15,0.457773678512609,1,0.726,5.8838789065349e-12,"1","Clec12a",0.274,0.212567535483132
"Atp6ap2",1.86862645570983e-15,0.184183886359974,1,0.9,6.69902584371975e-12,"1","Atp6ap2",0.1,0.0740005814437768
"Tmed3",2.62717448660615e-15,0.301779040892185,1,0.979,9.41842053448304e-12,"1","Tmed3",0.021,0.015228387614575
"Gstm1",2.75036304817456e-15,0.538420521335593,1,0.848,9.8600515277058e-12,"1","Gstm1",0.152,0.114035243246029
"Ptgr1",3.42241001157591e-15,0.145858178147608,1,0.451,1.22693398914996e-11,"1","Ptgr1",0.549,0.462952480595343
"Nkg7",3.7506685384402e-15,0.643011333089268,1,0.924,1.34461467103081e-11,"1","Nkg7",0.076,0.0558912008920452
"Rnaset2b",4.53247842942429e-15,0.151548445456231,0.992,0.793,1.62489351694861e-11,"1","Rnaset2b",0.199,0.151842159199706
"Elane",5.53168440587299e-15,1.74046674814531,1,0.968,1.98310885950547e-11,"1","Elane",0.032,0.0232697793228473
"Rnaset2a",8.37752528070821e-15,0.156633765071439,0.984,0.699,3.0033428131339e-11,"1","Rnaset2a",0.285,0.223726173202655
"Lta4h",1.41617809129499e-14,0.473154965167886,1,0.91,5.07699845729254e-11,"1","Lta4h",0.09,0.066427361738976
"Alas1",1.46570402750106e-14,0.172111499222331,1,0.463,5.2545489385913e-11,"1","Alas1",0.537,0.4510702305236
"Serpinb1a",2.0248934518964e-14,0.65264637148497,1,0.904,7.25924302504858e-11,"1","Serpinb1a",0.096,0.0709665213541436
"Med21",2.24863674629244e-14,0.107175513420669,1,0.952,8.0613627354584e-11,"1","Med21",0.048,0.0350469470992006
"Mgst2",2.32468885753383e-14,0.210854582513649,0.992,0.433,8.33400955425879e-11,"1","Mgst2",0.559,0.475179037805935
"Fcnb",2.52799666490429e-14,0.671553611675326,1,0.526,9.06286804368189e-11,"1","Fcnb",0.474,0.390245037827556
"Cebpe",2.65123428155301e-14,0.282998297002024,1,0.405,9.50467489936753e-11,"1","Cebpe",0.595,0.509429869553799
"Adssl1",2.89874588367759e-14,0.126539702798317,1,0.728,1.03920039929842e-10,"1","Adssl1",0.272,0.210896782498619
"Hsd11b1",3.39374570031796e-14,0.177430482473107,1,0.296,1.21665783356399e-10,"1","Hsd11b1",0.704,0.625934281777462
"Cst7",4.77983604696808e-14,0.289208683141058,1,0.843,1.71357122283806e-10,"1","Cst7",0.157,0.117943929031374
"Anxa3",4.98460855959714e-14,0.227587822598098,1,0.605,1.78698216861557e-10,"1","Anxa3",0.395,0.317426702652421
"Gatm",5.84346634690701e-14,0.102724412049371,0.992,0.558,2.09488268536616e-10,"1","Gatm",0.434,0.354522414006412
"Tuba4a",1.39037543894016e-13,0.359657449064804,1,0.984,4.98449594860048e-10,"1","Tuba4a",0.016,0.0115879742752118
"Ffar2",1.52104394617546e-13,0.120495465069048,0.984,0.295,5.45294254703901e-10,"1","Ffar2",0.689,0.615459927812959
"Ap3s1",1.91914089438188e-13,0.325425873333505,1,0.896,6.88012010635904e-10,"1","Ap3s1",0.104,0.0770410357638279
"Igsf6",1.94272633955736e-13,0.243881081466901,1,0.517,6.96467392731313e-10,"1","Igsf6",0.483,0.398778914415054
"Kdelr2",2.16058918199031e-13,0.110721551049672,1,0.761,7.74571221743527e-10,"1","Kdelr2",0.239,0.183605090830879
"1810037I17Rik",3.98493075202488e-13,0.25109915026376,1,0.976,1.42859767460092e-09,"1","1810037I17Rik",0.024,0.0174170530774094
"Xbp1",7.5780710002409e-13,0.12234259300457,1,0.865,2.71673845358636e-09,"1","Xbp1",0.135,0.100824369519487
"Hmgn2",1.12330549246196e-12,0.598996393762665,1,0.986,4.02705019047614e-09,"1","Hmgn2",0.014,0.0101343771337131
"Ly6c2",1.37054664073915e-12,0.7944488797646,1,0.992,4.91340970704986e-09,"1","Ly6c2",0.00800000000000001,0.00578235259400618
"Trem3",1.97862543861828e-12,0.234548752959919,1,0.377,7.09337219744654e-09,"1","Trem3",0.623,0.538471440527123
"Rasgrp2",2.66298054526213e-12,0.148581223358294,1,0.942,9.54678525476475e-09,"1","Rasgrp2",0.0580000000000001,0.0424567992428949
"Prtn3",2.7374229853058e-12,1.24110716739267,1,0.909,9.81366140232129e-09,"1","Prtn3",0.091,0.0671828972581493
"Srgn",3.3347662370583e-12,0.637598391196266,1,0.995,1.1955136959854e-08,"1","Srgn",0.005,0.00361125355237883
"Msrb1",6.2505496676289e-12,0.289407199575452,0.992,0.901,2.24082205584496e-08,"1","Msrb1",0.091,0.0674591154195287
"Gsr",1.12578433129413e-11,0.270199669294453,1,0.771,4.03593682768947e-08,"1","Gsr",0.229,0.175435787910173
"Clec4a2",1.15166150757203e-11,0.208411149885084,1,0.414,4.12870650464574e-08,"1","Clec4a2",0.586,0.500217879852688
