"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","pct.diff","log.pct.diff"
"1",4.83663569238108e-19,0.165906128003455,1,0.231,1.73393389571862e-15,"19","Osm",0.769,0.70016923817763
"2",6.08295005307309e-19,0.199839560742329,1,0.163,2.1807375940267e-15,"19","Cxcr2",0.837,0.782148903188869
"3",9.07834479850634e-19,0.179558601958232,1,0.176,3.25458661026452e-15,"19","Slfn4",0.824,0.766111939825723
"4",1.09547192036306e-18,0.181296346291604,1,0.21,3.92726683450156e-15,"19","Slfn1",0.79,0.72499295250013
"5",3.04136666217772e-18,0.192603470122632,1,0.277,1.09032994839071e-14,"19","G0s2",0.723,0.647241474959363
"6",4.33258918017399e-18,0.167728188667317,1,0.21,1.55323322109237e-14,"19","Pilra",0.79,0.72499295250013
"7",1.16091986304679e-17,0.780215048445975,1,0.484,4.16189770902273e-14,"19","Mmp9",0.516,0.430508908041284
"8",1.3500556525146e-17,0.299651469291922,1,0.422,4.83994951426486e-14,"19","Mxd1",0.578,0.492078535042672
"9",1.52098702750371e-17,0.204446343650519,0.989,0.446,5.4527384936008e-14,"19","Csf3r",0.543,0.459975723882626
"10",2.71515318659743e-17,0.238591055555336,1,0.416,9.73382417395178e-14,"19","Hdc",0.584,0.49817873457909
"11",3.71923849635636e-17,0.178786230288414,0.898,0.075,1.33334700094375e-13,"20","Ms4a1",0.823,0.820143332544287
"12",5.40097920007816e-17,0.4053790022982,1,0.517,1.93625104322802e-13,"20","Ly6d",0.483,0.398778914415054
"13",8.30675372175005e-17,0.475262894750348,1,0.596,2.97797120924739e-13,"20","Cd79a",0.404,0.325539348439741
"14",1.16947718730991e-16,0.413822428487394,1,0.757,4.19257571650604e-13,"20","Cd79b",0.243,0.186885808653711
"15",3.28645329872311e-13,0.640214762403922,0.908,0.57,1.17819350759223e-09,"20","H2-Aa",0.338,0.281296612226522
"16",3.43463719326008e-13,0.693878160909473,0.98,0.78,1.23131743378374e-09,"20","H2-Ab1",0.2,0.153623189113212
"17",4.62922751103147e-13,0.155893942219602,0.98,0.723,1.65957806270478e-09,"20","Cnp",0.257,0.200577728742024
"18",6.05226163682671e-13,0.544615379863822,0.898,0.485,2.16973579680237e-09,"20","H2-Eb1",0.413,0.354017061332981
"19",8.05007856881417e-11,0.186203411974089,0.969,0.403,2.88595316691988e-07,"20","Ltb",0.566,0.488948102281654
"20",2.99044559817919e-10,0.219338341034361,0.929,0.613,1.07207474694724e-06,"20","Vpreb3",0.316,0.258106704893461
"21",8.71059900453327e-20,0.285907562715723,1,0.039,3.12274974312518e-16,"25","Lpl",0.961,0.944804345757875
"22",9.31955586098589e-20,0.238744192044515,1,0.027,3.34106077616344e-16,"25","Sdc3",0.973,0.961563818343892
"23",1.29984080287553e-19,0.425095672869861,1,0.042,4.65992927830878e-16,"25","Axl",0.958,0.940644722383579
"24",1.38834641033773e-19,0.212274962310172,1,0.021,4.97722188106076e-16,"25","Maf",0.979,0.970017133784286
"25",1.77880342606121e-19,0.231070222868842,1,0.091,6.37701028242945e-16,"25","Clec4a3",0.909,0.87434889833848
"26",1.89900322574902e-19,0.24574789760861,1,0.068,6.80792656431023e-16,"25","Lgmn",0.932,0.905088352974533
"27",1.90005018693342e-19,0.389124176902132,1,0.1,6.81167992015631e-16,"25","Aif1",0.9,0.862496476250065
"28",3.16326810550163e-19,0.675188737042195,1,0.077,1.13403161582234e-15,"25","Fcna",0.923,0.89298175011788
"29",8.89001200969562e-19,0.825005227164536,1,0.163,3.18706930547588e-15,"25","Hmox1",0.837,0.782148903188869
"30",1.02736958440328e-18,1.09992116733571,1,0.171,3.68311996008577e-15,"25","C1qa",0.829,0.772258924160872
"31",1.23192984509842e-19,0.380177392266689,1,0.133,4.41646849467785e-16,"26","Ms4a2",0.867,0.819852138841571
"32",1.63549159151172e-19,0.468316012582801,1,0.187,5.86323735556952e-16,"26","Fcer1a",0.813,0.75268006502018
"33",2.78101677339645e-19,0.317308398502856,1,0.208,9.96994513262627e-16,"26","Csrp3",0.792,0.727379545337008
"34",2.94402070970281e-18,0.444227859110721,1,0.499,1.05543142442846e-14,"26","Ccl4",0.501,0.415999616714227
"35",3.32424434154001e-18,1.20730669802983,1,0.524,1.19174159644209e-14,"26","Cpa3",0.476,0.392137097168765
"36",3.60980423712287e-18,1.62000174752501,1,0.521,1.29411481900855e-14,"26","Prss34",0.479,0.39497984693759
"37",4.39596681154959e-18,0.646313826136181,1,0.565,1.57595410194053e-14,"26","Ccl3",0.435,0.353837342842106
"38",4.71579612175419e-18,1.49447010236394,1,0.577,1.69061290964888e-14,"26","Mcpt8",0.423,0.342817339871577
"39",5.21512243870344e-18,0.570676966035703,1,0.684,1.86962139427518e-14,"26","Ier3",0.316,0.248107861595691
"40",7.60002798383693e-18,0.426720413745942,1,0.537,2.72461003220554e-14,"26","Gata2",0.463,0.379882834971316
"41",2.43220280439439e-19,0.51158314175556,1,0.166,8.7194470537539e-16,"27","Siglech",0.834,0.778432211461591
"42",3.17070751037928e-19,0.411222934008575,1,0.181,1.13669864247097e-15,"27","Cox6a2",0.819,0.75999103526493
"43",1.56028022743128e-18,0.327740704211037,1,0.314,5.59360461534112e-15,"27","Rnase6",0.686,0.606034724339757
"44",6.00591503770164e-18,0.325593933642934,1,0.323,2.15312054101604e-14,"27","Ctsl",0.677,0.59618693838341
"45",9.9140651383688e-18,0.33985382330961,1,0.28,3.55419235210521e-14,"27","Pld4",0.72,0.643856189774725
"46",1.22906231525614e-17,0.338206624372694,1,0.511,4.40618840019325e-14,"27","Tcf4",0.489,0.404496339497258
"47",3.25504309672591e-17,0.530777899023275,1,0.517,1.16693295017624e-13,"27","Ly6d",0.483,0.398778914415054
"48",4.61797344167745e-17,0.286529780857873,1,0.145,1.65554347884137e-13,"27","Cd7",0.855,0.804652401677781
"49",4.68407875887252e-17,0.393251495789223,1,0.413,1.6792422350558e-13,"27","Mpeg1",0.587,0.501238534328148
"50",3.73128806009679e-16,0.303641738006779,1,0.538,1.3376667695447e-12,"27","Ctsh",0.462,0.37894449670026
"51",2.82083365144222e-15,0.327268665143281,1,0.285,1.01126886404204e-11,"50","Mt2",0.715,0.638231640580847
"52",3.99207802484869e-15,0.176455462644011,1,0.608,1.43115997190825e-11,"50","Mthfd1",0.392,0.314732593483158
